upload_date,video_id,title,duration,url,status,episode_note,notes
2026-04-15,Y4pvrjtb1cI,The Simplest Side Hustle You Can Start Under $100,48:18,https://www.youtube.com/watch?v=Y4pvrjtb1cI,backlog,,
2026-04-12,aT2XgPDU6yY,You Only Need a Laptop to Start This Business,44:30,https://www.youtube.com/watch?v=aT2XgPDU6yY,backlog,,
2026-04-10,Wl0NMNbYRDk,The Most Passive Online Side Hustle I've Ever Seen,15:57,https://www.youtube.com/watch?v=Wl0NMNbYRDk,backlog,,
2026-04-08,JHz6mikOPWw,He Can't Code but His AI Agents Make Him $5K/Month,44:19,https://www.youtube.com/watch?v=JHz6mikOPWw,backlog,,
2026-04-07,HIYiSVvN3RA,I Built an App the Government Doesn't Want You to See,8:36,https://www.youtube.com/watch?v=HIYiSVvN3RA,backlog,,
2026-04-06,eD2AMYAR8tA,The Most Profitable Business Everyone Overlooks,1:16:55,https://www.youtube.com/watch?v=eD2AMYAR8tA,backlog,,
2026-04-03,g4-3AxelI_Y,This Might Be the Easiest Way to Sell AI to Businesses,15:27,https://www.youtube.com/watch?v=g4-3AxelI_Y,backlog,,
2026-04-02,b4_DbNaCeGc,This AI Finds Cheap Products You Can Sell for 5x More,11:28,https://www.youtube.com/watch?v=b4_DbNaCeGc,backlog,,
2026-03-31,YqCfQ0APU2U,He Found a Way to Make $1K/Hour From His Phone,54:53,https://www.youtube.com/watch?v=YqCfQ0APU2U,backlog,,
2026-03-29,y_ON1Qbb274,He Turned $400 Into $2.5M Using AI (No Coding),50:54,https://www.youtube.com/watch?v=y_ON1Qbb274,backlog,,
2026-03-26,CVlZdvDthOM,How AI Makes Facebook Marketplace a Gold Mine,19:33,https://www.youtube.com/watch?v=CVlZdvDthOM,backlog,,
2026-03-23,Qv-dw57pFNA,They Banned My $35K/Month Page So I Started a Business,48:25,https://www.youtube.com/watch?v=Qv-dw57pFNA,backlog,,
2026-03-20,l0Vqm0ZIySc,He Asked AI To Make Money. It Did.,30:46,https://www.youtube.com/watch?v=l0Vqm0ZIySc,backlog,,
2026-03-19,L15oL4b3LT4,He Turns Abandoned Driving Ranges Into Cash Machines,33:02,https://www.youtube.com/watch?v=L15oL4b3LT4,backlog,,
2026-03-17,t_y8SelBm_s,The Simplest $7M Business You've Never Heard Of,49:42,https://www.youtube.com/watch?v=t_y8SelBm_s,backlog,,
2026-03-15,lfvyfRGIVHE,How to Make $1.6K/Day on Facebook Marketplace,42:58,https://www.youtube.com/watch?v=lfvyfRGIVHE,backlog,,
2026-03-12,mAyZZc_DjSE,Stop Buying Things. Start Buying Assets that Pay for Themselves,37:24,https://www.youtube.com/watch?v=mAyZZc_DjSE,backlog,,
2026-03-10,CKRglRCeVDM,How I Use Web Scraping to Find Products That Sell for 20x the Price,35:28,https://www.youtube.com/watch?v=CKRglRCeVDM,backlog,,
2026-03-08,N0NceZbY2_4,The Easiest $3K/Day Business Nobody Is Talking About,46:41,https://www.youtube.com/watch?v=N0NceZbY2_4,backlog,,
2026-03-06,iuQ_Y-qSz78,The Most Overlooked $13K/Day Business Anyone Can Start,35:36,https://www.youtube.com/watch?v=iuQ_Y-qSz78,backlog,,
2026-03-03,t2m_Dqk4_Dc,The Most Overlooked Way to Get Rich (Proven Blueprint),41:14,https://www.youtube.com/watch?v=t2m_Dqk4_Dc,backlog,,
2026-02-28,vQ3SxSy8J0g,I Tried OpenClaw for a Month and I'm Never Going Back,46:46,https://www.youtube.com/watch?v=vQ3SxSy8J0g,backlog,,
2026-02-26,F034Pz-DjGQ,The Most Underrated Way to Make $50K/Month,33:29,https://www.youtube.com/watch?v=F034Pz-DjGQ,backlog,,
2026-02-24,4AWlBGVQ8nA,Make $500k/Year with One Email a Week,53:39,https://www.youtube.com/watch?v=4AWlBGVQ8nA,backlog,,
2026-02-22,uWjU8ctaHIc,"Laid Off 2 Days Before Christmas, Now He Makes $60k/Month Reselling",1:00:22,https://www.youtube.com/watch?v=uWjU8ctaHIc,backlog,,
2026-02-20,RaFPcXDFObM,7 Low-Cost Business Ideas for Beginners in 2026,22:10,https://www.youtube.com/watch?v=RaFPcXDFObM,backlog,,
2026-02-18,KtAGjnWViMQ,Now is the Best Time to Make Money with Content (AI Tutorial),15:33,https://www.youtube.com/watch?v=KtAGjnWViMQ,backlog,,
2026-02-17,tKTlzugGgYw,I Built an AI Agent in 5 Minutes (And Sold It Live),36:54,https://www.youtube.com/watch?v=tKTlzugGgYw,backlog,,
2026-02-14,KuQtxDCmyO4,She Makes $1k/Day Sending Letters,53:16,https://www.youtube.com/watch?v=KuQtxDCmyO4,backlog,,
2026-02-12,TmbO1tGlz5s,AI is STEALING These Jobs! Here's How to Profit,9:56,https://www.youtube.com/watch?v=TmbO1tGlz5s,backlog,,
2026-02-10,UeeaWuSOnkI,How to Buy Big Things with Little Money,28:33,https://www.youtube.com/watch?v=UeeaWuSOnkI,backlog,,
2026-02-09,LPgWaH3YY6U,People Are Selling One Prompt Websites for $1K+ (Full Tutorial),13:38,https://www.youtube.com/watch?v=LPgWaH3YY6U,backlog,,
2026-02-06,-kwF1zol2gQ,The 11 Best Side Hustles for 2026,25:14,https://www.youtube.com/watch?v=-kwF1zol2gQ,backlog,,
2026-02-04,oSI5FE1NeTQ,OpenClaw is BOOMING! Do This to Profit,16:16,https://www.youtube.com/watch?v=oSI5FE1NeTQ,backlog,,
2026-02-02,haUsXY0RQFE,The Most Profitable One-Man Business You’ve Never Heard Of,32:37,https://www.youtube.com/watch?v=haUsXY0RQFE,backlog,,
2026-01-31,YoD0hFqX9W8,This Business Makes Vending Machines Look Dumb,1:14:42,https://www.youtube.com/watch?v=YoD0hFqX9W8,backlog,,
2026-01-29,QIX0lnr3qfo,How to Make $120k/Year with An Army of AI Influencers,13:52,https://www.youtube.com/watch?v=QIX0lnr3qfo,backlog,,
2026-01-27,IPnafDDgj6o,How I Make $35k/Month With Other People's Content (Legally),23:42,https://www.youtube.com/watch?v=IPnafDDgj6o,backlog,,
2026-01-22,BAnpwRCDPjQ,"He Watched This Channel and Started a $2,600/Week Side Hustle",42:15,https://www.youtube.com/watch?v=BAnpwRCDPjQ,backlog,,
2026-01-17,Cvs_HhGD18o,"40 Ways to Make $400,000 from Unwanted Land",43:58,https://www.youtube.com/watch?v=Cvs_HhGD18o,backlog,,
2026-01-14,pwybTbHZU-w,How to Get Your First Service Clients Paying Tens of Thousands,33:42,https://www.youtube.com/watch?v=pwybTbHZU-w,backlog,,
2026-01-12,AWesz6TJRcA,"How To Get Paid $2,500 + Monthly Checks for ""Drag & Drop"" AI Employees",28:12,https://www.youtube.com/watch?v=AWesz6TJRcA,backlog,,
2026-01-08,PX8Jn9vFJ38,Companies Are Panic Paying for This Skill. Here’s How to Get In,55:26,https://www.youtube.com/watch?v=PX8Jn9vFJ38,backlog,,
2026-01-04,r2-1c_T6F34,How to Build & Sell Micro Apps in 2026 (Using Only AI),14:34,https://www.youtube.com/watch?v=r2-1c_T6F34,backlog,,
2026-01-01,FFYu4JQ7dqw,"I Tested This ""Genius"" Side Hustle (Is It A Goldmine?)",18:24,https://www.youtube.com/watch?v=FFYu4JQ7dqw,backlog,,
